paper_key,depth_max,depth_mean,domain_binary,domain_continuous,domain_integer,domain_non_negative,motif_big_m,motif_capacity,motif_flow_balance,motif_headway,motif_modulo,n_formulas,n_objectives,share_bigop,share_equality,share_inequality,sym_index,sym_parameter,sym_var_param_ratio,sym_variable
10.1016_j.dam.2006.06.007,7,3.84211,1,0,1,0,0,0,0,0,0,19,0,0.052632,0.736842,0,0,0,0,0
10.1016_j.dam.2008.03.029,7,4.78261,0,0,0,0,0,0,0,0,0,23,3,0.086957,0.304348,0.565217,6,6,0.5,3
10.1016_j.disopt.2008.09.003,8,4.19231,0,1,2,0,0,0,0.133333,0,0,30,0,0.266667,0.533333,0.066667,7,16,0.25,4
10.1016_j.ejor.2004.07.019,9,5.55172,0,0,0,0,0,0,0,0.241379,0,29,2,0.172414,0.551724,0.413793,6,9,0.777778,7
10.1016_j.ejor.2004.12.013,8,5.36364,0,0,0,0,0,0,0,0,0,11,0,0,0.909091,0.090909,0,0,0,0
10.1016_j.ejor.2005.03.032,6,4.67857,1,0,1,4,0,0.033333,0,0,0,30,1,0.666667,0.733333,0.1,10,7,1.57143,11
10.1016_j.ejor.2006.10.034,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1
10.1016_j.ejor.2008.12.005,10,5.38462,0,0,0,0,0,0,0,0.037037,0,27,0,0.148148,0.777778,0,4,11,1.27273,14
10.1016_j.ejor.2011.11.003,9,5.12963,1,0,1,2,0,0.125,0.035714,0.071429,0.035714,56,7,0.392857,0.125,0.571429,16,29,0.137931,4
10.1016_j.ejor.2012.01.037,7,5.625,0,0,0,0,0,0,0,0,0,9,1,0.777778,0.444444,0.222222,5,7,0.571429,4
10.1016_j.ejor.2012.04.025,10,5.85185,1,0,0,1,0,0.266667,0,0.033333,0,30,3,0.7,0.366667,0.4,12,18,0.222222,4
10.1016_j.ejor.2015.12.006,9,6.28,0,1,0,0,0.074074,0.037037,0,0,0,27,1,0.37037,0.074074,0.814815,7,15,0.133333,2
10.1016_j.ejor.2017.04.057,7,4.23077,2,0,0,1,0.230769,0,0,0.230769,0,13,1,0.076923,0.307692,0.461538,11,5,1,5
10.1016_j.ejor.2020.03.034,7,5.25,0,0,0,0,0,0,0,0,0,4,0,0.25,0.5,0.25,6,8,0,0
10.1016_j.ejor.2021.02.059,9,5.15385,1,0,0,2,0,0,0,0.025641,0,39,3,0.435897,0.25641,0.538462,6,7,0.428571,3
10.1016_j.ejor.2021.04.041,7,5.4,0,0,0,2,0,0.3,0.1,0,0,20,3,0.7,0.3,0.35,25,2,2,4
10.1016_j.ejor.2021.06.025,9,5.18182,0,0,0,0,0,0.090909,0,0,0,33,4,0.636364,0.69697,0.242424,0,0,0,0
10.1016_j.ejor.2021.11.019,8,5.10667,1,0,0,0,0.173333,0,0,0.013333,0,75,0,0.36,0.453333,0.506667,6,10,1.9,19
10.1016_j.ejor.2026.05.045,7,5.08571,3,0,0,3,0,0,0,0,0,37,4,0.621622,0.459459,0.189189,15,6,1,6
10.1016_j.ejtl.2025.100155,8,4.9,1,0,0,0,0.05,0,0,0.05,0.05,20,3,0.3,0.15,0.5,0,0,0,0
10.1016_j.engappai.2012.01.020,9,5.7,0,0,0,0,0,0,0,0,0,10,1,0.1,0.4,0.5,3,8,0.375,3
10.1016_j.eswa.2007.11.050,10,7.25,0,0,0,0,0,0,0,0.25,0,4,0,0.5,1,0,0,0,0,0
10.1016_j.eswa.2008.07.005,9,6.125,0,0,0,1,0.125,0,0,0,0,8,1,0.375,0.5,0.5,0,0,0,0
10.1016_j.eswa.2009.06.041,10,6.45455,0,0,0,0,0,0,0,0,0,11,1,0.181818,1,0,3,3,1.33333,4
10.1016_j.eswa.2009.08.015,8,4.85714,0,0,0,1,0,0.142857,0,0,0,7,1,0.142857,0.428571,0.428571,0,0,0,0
10.1016_j.eswa.2010.11.034,10,6.33333,0,0,0,0,0,0,0,0.083333,0.083333,12,1,0.25,0.416667,0.416667,0,0,0,0
10.1016_j.eswa.2023.121515,8,6.06818,0,0,0,0,0.266667,0.066667,0,0.044444,0,45,5,0.577778,0.266667,0.6,6,9,0.777778,7
10.1016_j.eswa.2024.124173,9,6.14286,0,0,0,0,0,0,0.066667,0,0,30,1,0.5,0.733333,0.266667,8,20,0.9,18
10.1016_j.eswa.2025.129131,9,6.34483,0,0,0,0,0,0.103448,0,0,0,29,0,0.724138,0.586207,0.034483,17,7,0.857143,6
10.1016_j.ijdrr.2022.103361,7,5.42857,1,0,0,0,0.142857,0,0,0.238095,0,21,1,0.095238,0.428571,0.47619,11,7,0.714286,5
10.1016_j.ins.2023.03.003,9,5.7381,0,0,0,0,0.095238,0,0,0.214286,0,42,1,0.238095,0.309524,0.595238,8,11,1,11
10.1016_j.jrtpm.2011.06.001,9,6.66667,0,0,0,0,0,0,0,0.666667,0,3,0,0,0.333333,0.666667,6,5,0.4,2
10.1016_j.jrtpm.2013.10.001,7,5.19048,0,0,0,0,0.047619,0,0,0.238095,0,21,4,0.47619,0.761905,0.238095,7,5,0.8,4
10.1016_j.jrtpm.2013.10.006,6,4.63636,0,0,0,0,0,0,0,0,0,11,0,0,0.636364,0.363636,0,3,0.666667,2
10.1016_j.jrtpm.2013.10.007,12,6.50847,0,0,0,1,0.20339,0.033898,0,0,0,59,2,0.20339,0.338983,0.559322,0,0,0,0
10.1016_j.jrtpm.2014.04.001,6,4.66667,0,0,0,0,0,0,0,0,0,3,0,0.666667,1,0,0,0,0,0
10.1016_j.jrtpm.2016.11.002,6,3.88889,0,1,2,0,0,0,0,0,0.2,20,1,0,0.3,0.35,5,12,0.5,6
10.1016_j.jrtpm.2017.06.003,8,5.71429,3,0,0,0,0,0,0,0,0,21,1,0.142857,0.238095,0.571429,6,12,0.833333,10
10.1016_j.jrtpm.2018.02.002,7,5.78571,0,0,0,0,0.071429,0.071429,0,0,0,14,1,0.714286,0.428571,0.071429,8,3,1.66667,5
10.1016_j.jrtpm.2018.09.003,9,4.77778,0,0,0,0,0,0,0.333333,0,0.111111,9,3,0.333333,0.444444,0.555556,3,6,0.666667,4
10.1016_j.jrtpm.2019.100173,11,5.64583,0,0,0,1,0,0.1,0,0,0,50,7,0.5,0.64,0.22,19,5,0.2,1
10.1016_j.jrtpm.2019.100175,8,4.51852,0,0,2,0,0,0,0,0,0,31,8,0.16129,0.322581,0.16129,2,9,0.444444,4
10.1016_j.jrtpm.2020.100196,8,6.08696,0,0,0,0,0,0,0,0,0,23,6,0.304348,0.478261,0,8,6,0,0
10.1016_j.jrtpm.2020.100200,13,6.86667,0,0,0,0,0,0.055556,0.111111,0,0,18,0,0.555556,0.5,0.444444,8,10,0.3,3
10.1016_j.jrtpm.2022.100334,9,6.26667,0,0,0,0,0,0.066667,0.066667,0.266667,0,15,2,0.533333,0,0.866667,6,9,0.444444,4
10.1016_j.jrtpm.2025.100534,8,5.1791,0,0,0,0,0.373134,0,0,0.238806,0,67,6,0.089552,0.313433,0.671642,2,9,0.222222,2
10.1016_j.jrtpm.2025.100548,16,6.66667,0,0,0,0,0.166667,0.037037,0,0.074074,0,54,1,0.444444,0.574074,0.425926,7,12,0.75,9
10.1016_j.jrtpm.2025.100555,8,5.92683,3,0,0,1,0.214286,0,0.047619,0,0,42,4,0.190476,0.238095,0.571429,8,11,0.454545,5
10.1016_j.knosys.2009.06.002,10,6.6,0,0,0,0,0,0,0,0,0,10,1,0.5,0.9,0,0,0,0,0
10.1016_j.omega.2016.11.004,8,4.5,0,0,0,0,0.105263,0,0,0.526316,0,19,2,0.157895,0.105263,0.894737,8,14,0.5,7
10.1016_j.omega.2017.08.018,7,4.72222,0,0,2,0,0.138889,0,0,0.083333,0,36,2,0.138889,0.472222,0.416667,0,0,0,0
10.1016_j.omega.2018.04.003,11,5.89362,2,0,0,4,0.102041,0.081633,0.020408,0,0,49,5,0.408163,0.44898,0.367347,7,6,1.16667,7
10.1016_j.omega.2018.08.005,7,4.84746,0,0,0,0,0.322034,0,0,0.288136,0,59,1,0.050847,0.305085,0.677966,4,7,1.57143,11
10.1016_j.omega.2018.10.020,11,5.97959,0,0,0,0,0.102041,0.061224,0.102041,0.020408,0,49,3,0.367347,0.77551,0.204082,4,9,1.88889,17
10.1016_j.omega.2020.102371,8,5.76667,0,0,0,0,0,0,0.016393,0,0,61,7,0.311475,0.42623,0.57377,2,9,1.22222,11
10.1016_j.omega.2022.102796,9,4.88889,0,0,0,0,0.037037,0.037037,0,0.333333,0,27,3,0.259259,0.222222,0.703704,12,14,0.357143,5
10.1016_j.omega.2022.102798,6,4.6875,0,0,0,0,0.0625,0,0,0.3125,0,16,1,0.125,0.125,0.8125,6,8,1.125,9
10.1016_j.omega.2023.102968,10,5.77049,0,0,0,1,0.112903,0.016129,0,0.016129,0,62,5,0.403226,0.451613,0.370968,9,8,1.375,11
10.1016_j.omega.2023.102999,9,5.7619,0,0,0,0,0.395349,0.046512,0.023256,0.27907,0,43,3,0.255814,0.372093,0.627907,7,9,0.888889,8
10.1016_j.omega.2024.103040,9,6.13889,0,0,0,0,0,0.081081,0.081081,0,0,37,1,0.837838,0.864865,0.081081,9,9,1.22222,11
10.1016_j.orl.2008.06.005,8,6,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0.5,0,0,0,0
10.1016_j.physa.2022.126957,8,5.3125,0,0,0,0,0,0,0.125,0.0625,0,32,0,0.4375,0.71875,0.28125,14,10,0.9,9
10.1016_j.ress.2011.09.002,8,4.6,0,0,0,0,0,0,0,0,0,5,0,0.4,1,0,0,0,0,0
10.1016_j.ress.2016.03.015,8,5.83333,0,0,0,0,0,0,0,0,0,12,0,0.25,0.833333,0,0,0,0,0
10.1016_j.ress.2021.108183,9,5.78947,2,0,0,0,0,0,0,0,0,19,1,0.473684,0.789474,0,0,0,0,0
10.1016_j.ress.2022.108515,11,5.55263,0,0,0,0,0,0.052632,0,0,0,38,0,0.447368,0.921053,0.052632,5,13,0.615385,8
10.1016_j.ress.2022.108538,8,5.6,3,0,0,0,0.12,0.04,0.08,0,0,25,2,0.44,0.36,0.52,5,13,0.307692,4
10.1016_j.ress.2023.109400,7,5.73333,0,0,0,0,0.2,0.033333,0.033333,0.333333,0,30,3,0.3,0.266667,0.633333,12,10,0.6,6
