paper_key,depth_max,depth_mean,domain_binary,domain_continuous,domain_integer,domain_non_negative,motif_big_m,motif_capacity,motif_flow_balance,motif_headway,motif_modulo,n_formulas,n_objectives,share_bigop,share_equality,share_inequality,sym_index,sym_parameter,sym_var_param_ratio,sym_variable
10.1016_j.trb.2019.07.011,8,4.7931,0,0,1,6,0,0.068966,0,0,0,58,2,0.310345,0.103448,0.551724,9,13,0.615385,8
10.1016_j.trb.2019.08.001,12,6.43396,1,0,0,0,0,0.037736,0.075472,0,0,53,6,0.471698,0.641509,0.226415,11,17,0.529412,9
10.1016_j.trb.2019.12.005,8,5.68085,1,0,0,0,0,0,0,0.0625,0,48,2,0.333333,0.458333,0.416667,8,9,1.11111,10
10.1016_j.trb.2020.02.008,10,6.14286,0,0,0,0,0,0.285714,0.047619,0,0,21,2,0.714286,0.571429,0.285714,15,18,0.444444,8
10.1016_j.trb.2020.03.008,8,5.30769,4,0,0,1,0.102564,0.025641,0.025641,0,0,39,3,0.461538,0.358974,0.512821,9,15,0.533333,8
10.1016_j.trb.2020.03.009,8,5.08108,2,0,0,3,0.054054,0.054054,0,0.027027,0,37,4,0.567568,0.243243,0.702703,6,14,0.5,7
10.1016_j.trb.2020.05.020,7,5.09677,3,0,3,1,0,0.064516,0,0,0,31,1,0.387097,0.258065,0.354839,10,6,1.16667,7
10.1016_j.trb.2020.09.001,8,5.34615,0,0,0,1,0.254237,0.050847,0,0,0,59,0,0.152542,0.220339,0.661017,17,14,0.5,7
10.1016_j.trb.2020.09.004,9,5.3913,0,0,0,0,0.043478,0,0.021739,0.043478,0,46,8,0.217391,0.369565,0.5,7,13,1,13
10.1016_j.trb.2020.09.010,9,6.5,0,0,0,0,0,0.136364,0,0,0,22,2,0.772727,0.5,0.363636,10,15,0.266667,4
10.1016_j.trb.2020.11.006,10,5.97561,2,0,0,0,0,0.047619,0.119048,0,0,42,9,0.761905,0.761905,0.095238,9,10,0.5,5
10.1016_j.trb.2021.02.006,10,5.52941,1,0,1,2,0.019608,0,0,0,0.058824,51,3,0.27451,0.54902,0.215686,7,10,0.9,9
10.1016_j.trb.2021.04.014,10,5.08824,3,0,0,1,0,0.028571,0,0,0,35,3,0.314286,0.371429,0.342857,5,10,0.7,7
10.1016_j.trb.2021.05.009,11,5.67164,0,0,0,0,0,0.057971,0,0,0,69,1,0.405797,0.623188,0.15942,9,14,0.857143,12
10.1016_j.trb.2021.06.001,12,5.58333,1,0,0,1,0,0.026316,0.052632,0,0,38,1,0.473684,0.578947,0.078947,5,8,0.25,2
10.1016_j.trb.2021.08.003,10,5.58462,0,0,0,0,0,0.015152,0,0.060606,0,66,6,0.272727,0.545455,0.393939,7,5,3.4,17
10.1016_j.trb.2021.11.009,13,6.48077,1,0,0,1,0,0.038462,0.173077,0,0,52,14,0.711538,0.692308,0.076923,13,9,0.777778,7
10.1016_j.trb.2022.02.002,9,5.98333,2,0,0,0,0,0.166667,0.016667,0.05,0,60,4,0.466667,0.533333,0.266667,18,4,0.75,3
